45,c0,0050,27bb,0000,40,01,b6c0,82d0f6aa,b9f46802,030d988b0000000045000034e41b00002f060c37b9f4680282d0f6aa982f01bb0f2c0723000000008002ffff23650000020405b40103030801010402, 7017
45,00,0053,8852,0000,40,11,68bd,82d0f6aa,08080808,cee40035003f89db150401000001000000000001013203313034033234340331383507696e2d61646472046172706100000c000100002905c0000000000000, 7017
45,00,004d,43cd,0000,40,11,ad48,82d0f6aa,08080808,aa490035003989d5ef5501000001000000000001013801380138013807696e2d61646472046172706100000c000100002905c0000000000000, 7017
45,00,0028,0000,4000,40,06,f6fe,82d0f6aa,b2161840,1cacc34e000000003812d5cc501400007e250000, 7017
45,00,0052,d08f,0000,40,11,2081,82d0f6aa,08080808,c1ef0035003e89da491f010000010000000000010236340232340232320331373807696e2d61646472046172706100000c000100002905c0000000000000, 7017
45,c0,0048,9fc8,0000,40,01,69f6,82d0f6aa,23cbd2f0,030d6d48000000004500002cd4310000f306836323cbd2f082d0f6aade33014d9e5449b1000000006002ffff60690000020405b4, 7017
45,00,0054,99a3,0000,40,11,576b,82d0f6aa,08080808,869d0035004089dc59540100000100000000000103323430033231300332303302333507696e2d61646472046172706100000c000100002905c0000000000000, 7017
00,01,0800,0604,0001,bc,24,1104,584582d0,f6aa0000,0000000082d0f6a1, 7017
45,00,004c,9abe,4000,40,11,acf5,82d0f6aa,82d0f6a1,eb16007b0038f3362300062000000000000000000000000000000000000000000000000000000000000000000000000020c3a892fa75920f, 7017
00,01,0800,0604,0002,bc,24,1104,584582d0,f6aad401,c34c17fc82d0f6a1, 7017
45,00,0028,0000,4000,40,06,fdf7,82d0f6aa,cf5af402,138e5b1800000000e6d9490250140000d4750000, 7017
45,00,0052,2761,0000,40,11,c9af,82d0f6aa,08080808,8b280035003e89da6799010000010000000000010132033234340239300332303707696e2d61646472046172706100000c000100002905c0000000000000, 7017
45,00,0028,0000,4000,40,06,28c3,82d0f6aa,58d23fc0,1851ca950000000022a448165014000050220000, 7017
45,00,0053,8e2b,0000,40,11,62e4,82d0f6aa,08080808,ecea0035003f89dbeb5001000001000000000001033139320236330332313002383807696e2d61646472046172706100000c000100002905c0000000000000, 7017
45,40,0028,0000,4000,40,06,cc88,82d0f6aa,c2b431d8,0a34dde6000000004ed1bcb9501400004e230000, 7017
45,00,0054,9c36,0000,40,11,54d8,82d0f6aa,08080808,a2850035004089dc41bc0100000100000000000103323136023439033138300331393407696e2d61646472046172706100000c000100002905c0000000000000, 7017
